id,NameL,Level,ImageUrl,NameA,MainCategoryId
1,Computers & Networking,1,https://www.pcspecialist.co.uk/images/landing/home/pc-lineup2.png,كمبيوتر وشبكات,
2,Mobiles & Tablets,1,https://techspace.repair/wp-content/uploads/2019/06/tabletsmain.png,موبايلات وتابلت,
3,Electronics,1,https://margielaw.weebly.com/uploads/6/1/5/4/61546281/776066.jpg?504,الكترونيات,
4,Laptops & Notebooks,2,,لابتوب,1
5,Desktop Computers,2,,ديسكتوب,1
6,Mobiles,2,,موبايل,2
7,Tablets,2,,تابلت,2
8,TV,2,,تليفزيون,3
9,Heaters,2,,دفايات,1030
25,USB Flash Memory,2,,يو اس بى,1
26,Watches & Jewllery,1,https://images-na.ssl-images-amazon.com/images/I/814Ijscss3L._UL1500_.jpg,ساعات ومجوهرات,
1012,Games & Toys,1,https://www.nicepng.com/png/detail/75-756650_kids-toys-png-clipart-transparent-download-baby-toys.png,ألعاب,
1013,Video Games,2,,العاب فيديو,1012
1035,Mobiles Accessories,2,,اكسسوار موبايل,2
1036,Tablet Accessories,2,,اكسسوار تابلت,2
1038,Games Consoles,2,,اجهزة العاب,1012
1039,Air Conditio,2,,تكييف,1030
1040,Games Accessories,2,,اكسسوارات العاب,1012
1041,Refrigerators & Freezers,2,,ثلاجات وفريزر,1030
1042,Power Bank,2,,باور بانك,2
1045,Washing Machines,2,,غسالات,1030
1054,"Home, Kitchen and Tools ",1,https://images.pexels.com/photos/2724748/pexels-photo-2724748.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,المنزل والمطبخ والمعدات,
1055,Fashio,1,https://unicphscat.blob.core.windows.net/images-prd/s0000753.png,الموضة,
1056,Baby Accessories,1,https://images-na.ssl-images-amazon.com/images/I/91in27o0rcL._UL1500_.jpg,مستلزمات الأطفال,
1057,Health & Beauty,1,https://www.clipartmax.com/png/middle/140-1402294_physical-wellness-8-dimensions-of-wellness.png,الصحة والجمال,
1058,Sports & Fitness,1,https://www.armaghbanbridgecraigavon.gov.uk/wp-content/uploads/2019/04/sportsballs1.png,أدوات رياضية,
1059,Hard Disk,2,,هارد ديسك,1
1060,Bags & Carry Cases,2,,شنط لابتوب,1
1061,Software,2,,برامج,1
1062,Keyboads,2,,لوحات مفاتيح,1
1063,Mouse,2,,ماوس,1
1064,Printers,2,,طابعات,1
1065,Scanners,2,,سكانر,1
1066,Speaksers,2,,سماعات,1
1067,UPS,2,,يو بى اس,1
1068,Networks,2,,شبكات,1
1069,Sattelite Receivers,2,,ريسيفر ودش,3
1070,TV and Sattelite Accessories,2,,اكسسوارات تليفزيون وريسيفر,3
1071,Projectors,2,,بروجيكتور,3
1072,Cameras Accessories,2,,كاميرات,3
1073,Audio,2,,أدوات صوت,3
1074,Security & Surveillance,2,,أنظمة مراقبة,3
1075,Iro,2,,مكاوى,1030
1076,Kitchen Appliances,2,,ادوات مطبخ,1030
1077,Water Heaters,2,,سخانات مياه,1030
1078,Men Casual Watches,2,,ساعات عادية رجالى,26
1079,Women Casual Watches,2,,ساعات عادية حريمى,26
1080,Men Dress Watches,2,,ساعات رسمية رجالى,26
1081,Women Dress Watches,2,,ساعات رسمية حريمى,26
1082,Men Sport Watches,2,,ساعات رياضية رجالى,26
1083,Women Sport Watches,2,,ساعات رياضية حريمى,26
1084,Rings,2,,خواتم,26
1085,Earrings,2,,حلقان,26
1086,Braclets,2,,اساور,26
1087,Necklaces & Bracelets,2,,قلائد وأساور,26
1088,Toys,2,,لعب أطفال,
1089,Cookware,2,,اوانى الطبخ,1054
1090,Bakeware,2,,اوانى الخبز,1054
1091,Kitchen Appliances,2,,اجهزة مطبخ,1054
1092,Kitchen Storage & Organizatio,2,,وحدات التخزين وتنظيم المطبخ,1054
1093,Kitchen Tools & Utensils,2,,ادوات واوانى المطبخ,1054
1094,Kitchen & Table Linens,2,,اغطية المطبخ والطاولة,1054
1095,Dinnerware,2,,اوانى الطعام,1054
1096,Cutlery & Flatware,2,,ادوات المائدة والاطباق,1054
1097,Glassware & Drinkware,2,,الاوانى الزجاجية,1054
1098,Serveware,2,,اوانى الضيافة,1054
1099,Tabletop Accessories,2,,اكسسوارات الطاولة,1054
1101,Women Tops,2,,ملابس حريمى,1055
1102,Men Tops,2,,ملابس رجالى,1055
1103,Men Pants,2,,بنطلونات رجال,1055
1104,Skirts,2,,تنانير,1055
1105,Dresses,2,,فساتين,1055
1106,Accessories,2,,اكسسورات ملابس,1055
1107,Women Shoes,2,,احذية حريمى,1055
1108,Men Shoes,2,,احذية رجالى,1055
1109,Sandals,2,,صنادل,1055
1110,Boots,2,,بوت,1055
1111,Bags,2,,شنط,1055
1112,Eyeware,2,,نظارات,1055
1114,Perfums Form Him,2,,عطور رجالى,1057
1115,Perfums Form Here,2,,عطور حريمى,1057
1116,Gifts Sets,2,,مجموعات الهدايا,1057
1117,Me's Grooming,2,,منتجات العنايا رجالى,1057
1119,Makeup,2,,مكياج,1057
1120,Bath & Body,2,,الاستحمام والجسم,1057
1121,Dental Care,2,,مستحضرات العناية بالأسنان,1057
1122,Hair Electronics,2,,الكترونيات الشعر,1057
1123,Health & Personal Care,2,,مستحضرات الصحة والعناية الشخصية,1057
1125,"Treadmills, Bikes & Ellipticals",2,,أجهزة الركض والدراجات الرياضية,1058
1126,Fitness Technology,2,,تقنية اللياقة البدنية,1058
1127,Sports Nutritio,2,,أغذية للرياضيين,1058
1128,Ab Machines,2,,أجهزة رياضية لتمارين المعدة,1058
1129,Weight Training,2,,تمارين الوزن,1058
1130,Football,2,,كرة القدم,1058
1131,Basketball,2,,كرة السلة,1058
1132,Racket Sports,2,,رياضية المضرب,1058
1133,Camping,2,,تخييم,1058
1134,Babies & Accessories,2,,لوازم أطفال,1056
1135,Baby Clothing & Shoes,2,,ملابس و أحذية الأطفال,1056
1136,Baby Safety & Health,2,,معدات سلامة و صحة الطفل,1056
1137,Baby Toys and Accessories,2,,ألعاب أطفال,1056
1138,Baby Gear,2,,معدات أطفال,1056
1139,Baby Gift Sets,2,,مجموعة هدايا أطفال,1056
1140,Baby Accessories,2,,اكسسوارات أطفال,1056
1141,Feeding,2,,مستلزمات اطعام,1056
1142,Diapers,2,,حفاضات,1056
1143,Baby Bath & Skincare,2,,لوازم الاستحمام والعناية بالطفل,1056
1144,Baby Bags,2,,حقائب أطفال,1056
